TransactionAmount,AccountBalance,LoginAttempts,Location,Channel,Cluster
14.089999999999975,5112.21,1.0,San Diego,ATM,Fraud
376.24,13758.91,1.0,Houston,ATM,Suspicious
126.28999999999999,1122.35,1.0,Mesa,Online,Suspicious
184.5,8569.06,1.0,Raleigh,Online,Fraud
13.449999999999989,7429.4,1.0,Atlanta,Online,Normal
92.15,781.6800000000003,1.0,Oklahoma City,ATM,Suspicious
7.079999999999984,13316.71,1.0,Seattle,ATM,Fraud
171.42,2796.24,1.0,Indianapolis,Branch,Suspicious
106.23000000000002,9095.14,1.0,Detroit,Branch,Normal
815.96,1021.8799999999997,1.0,Nashville,ATM,Suspicious
17.78000000000003,7599.52,1.0,Albuquerque,Online,Normal
190.02000000000004,1528.81,1.0,Memphis,Online,Suspicious
494.52,1620.02,1.0,Mesa,Branch,Suspicious
781.76,189.6899999999996,1.0,Memphis,ATM,Suspicious
166.99,299.9300000000003,1.0,Louisville,Online,Suspicious
465.45,3465.54,1.0,Denver,ATM,Normal
555.8,1131.2600000000002,1.0,Austin,Branch,Normal
492.93,5109.97,1.0,Columbus,Online,Normal
18.680000000000007,7948.37,1.0,Albuquerque,Branch,Normal
71.47999999999999,6568.59,1.0,Columbus,Online,Normal
59.31999999999999,5750.89,1.0,Los Angeles,Branch,Suspicious
85.76999999999998,9146.19,1.0,Las Vegas,Branch,Suspicious
52.19999999999999,8974.93,1.0,Atlanta,Online,Normal
345.84,1402.5,3.0,Fort Worth,Online,Normal
145.54,1930.96,1.0,Raleigh,Online,Fraud
7.490000000000009,3634.67,1.0,Houston,Online,Suspicious
246.93,673.3500000000004,5.0,Miami,ATM,Suspicious
40.31999999999999,2686.52,1.0,Milwaukee,Branch,Suspicious
127.44999999999999,1772.06,1.0,Las Vegas,Online,Suspicious
56.170000000000016,1351.69,1.0,Detroit,Branch,Normal
28.310000000000002,8334.47,1.0,Miami,Online,Suspicious
59.120000000000005,9823.64,1.0,Baltimore,ATM,Normal
396.45,9690.15,3.0,New York,ATM,Suspicious
877.81,399.0,1.0,Los Angeles,Online,Suspicious
255.26,14815.87,1.0,San Francisco,Branch,Fraud
124.75999999999999,5764.72,1.0,Seattle,Branch,Fraud
78.13,900.6099999999997,1.0,Milwaukee,Branch,Suspicious
649.28,4875.86,1.0,San Jose,ATM,Fraud
795.31,7914.88,2.0,Mesa,ATM,Suspicious
335.63,1019.3899999999999,1.0,Oklahoma City,Online,Suspicious
328.47,4323.66,1.0,San Antonio,ATM,Fraud
34.01999999999998,14214.48,1.0,Philadelphia,Online,Fraud
241.42,13357.02,1.0,Charlotte,Online,Normal
55.31999999999999,241.78999999999996,1.0,Tucson,ATM,Fraud
304.31,868.6099999999997,1.0,Louisville,Branch,Suspicious
435.27,4673.28,1.0,Chicago,Branch,Normal
164.49,1509.27,1.0,Baltimore,Branch,Normal
510.24,781.6999999999998,1.0,Oklahoma City,Online,Suspicious
626.9,265.5100000000002,1.0,Denver,Online,Normal
22.00999999999999,1335.0900000000001,1.0,Sacramento,Online,Fraud
425.34,3907.54,1.0,Kansas City,Online,Suspicious
424.56,5183.85,1.0,Omaha,Online,Fraud
85.43,14904.9,1.0,Virginia Beach,Branch,Fraud
169.5,918.8800000000001,1.0,San Diego,Branch,Fraud
104.63,4477.78,1.0,Omaha,ATM,Fraud
316.95,1324.0299999999997,1.0,Mesa,Branch,Suspicious
60.53999999999999,3534.93,1.0,Columbus,Branch,Normal
292.56,4638.37,1.0,Dallas,Branch,Normal
386.52,5630.61,1.0,Indianapolis,Branch,Suspicious
112.07,930.3000000000002,1.0,Kansas City,Branch,Suspicious
568.52,5499.91,1.0,Indianapolis,ATM,Suspicious
263.99,4175.02,2.0,Dallas,Branch,Normal
349.64,6651.62,1.0,Las Vegas,Online,Suspicious
601.4,8458.29,1.0,Philadelphia,Branch,Fraud
5.769999999999982,13988.12,1.0,Charlotte,Online,Normal
201.33,2585.07,1.0,Nashville,Branch,Suspicious
298.42,3014.75,1.0,Indianapolis,Branch,Suspicious
521.06,1951.42,1.0,Albuquerque,Branch,Normal
117.28,3665.77,1.0,Austin,Online,Normal
189.12,977.0100000000002,1.0,Indianapolis,Branch,Suspicious
133.55,3846.28,1.0,Atlanta,ATM,Normal
143.21,6374.82,1.0,Dallas,Online,Normal
24.769999999999982,5866.01,1.0,Boston,ATM,Normal
233.92,6537.62,1.0,Jacksonville,Online,Suspicious
1212.51,605.9499999999998,1.0,Indianapolis,Branch,Suspicious
232.12,6689.87,1.0,Omaha,ATM,Fraud
162.63,634.1700000000001,1.0,Kansas City,Online,Suspicious
91.53,14676.05,1.0,Milwaukee,Branch,Suspicious
120.29000000000002,1362.3900000000003,1.0,Miami,Branch,Suspicious
174.25,10528.34,1.0,Seattle,Online,Fraud
183.71,552.5200000000004,1.0,Denver,ATM,Normal
345.39,6451.96,1.0,Phoenix,Online,Fraud
922.55,4715.84,1.0,Detroit,ATM,Normal
259.91,7176.86,1.0,Denver,Online,Normal
